row,sp,Dataset,TraitValue,Lat,Lon,DataContributor,TraitName;;
1,Cassiope tetragona,Atqasuk,0.062,70.46,-157.42,Robert Hollister,PlantHeight;;
2,Cassiope tetragona,Qikiqtaruk-Herschel Island,0.076,69.57536,-138.86479,Haydn Thomas, Isla Myers-Smith,PlantHeight;;
3,Cassiope tetragona,Atqasuk,0.072,70.46,-157.42,Robert Hollister,PlantHeight;;
4,Cassiope tetragona,GLOPNET - Global Plant Trait Network Database,0.1,67.5,-152.5,Ian Wright,PlantHeight;;
5,Cassiope tetragona,Kluane Plateau,0.072,60.97135,-138.41777,Haydn Thomas,PlantHeight;;
6,Cassiope tetragona,Qikiqtaruk-Herschel Island,0.138,69.57536,-138.86479,Haydn Thomas, Isla Myers-Smith,PlantHeight;;
7,Cassiope tetragona,Kilpisjarvi, Finland,0.06,69.05440329,20.81852298,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1849,Vaccinium myrtillus,LOGH,0.02,62.10253,12.34458,Tage Vowles,PlantHeight;;
1850,Vaccinium myrtillus,Sheffield Database,0.277,NA,NA,Johannes Cornelissen,SeedMass;;
1851,Vaccinium myrtillus,Kilpisjarvi, Finland,0.111,69.0653501,20.79790358,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1852,Vaccinium myrtillus,GLOPNET - Global Plant Trait Network Database,18.5725002288184,68,19.5,Ian Wright,SLA;;
1853,Vaccinium myrtillus,Sheffield Database,13.8461538461538,53.4,-1.5,Johannes Cornelissen,SLA;;
1854,Vaccinium myrtillus,LOGH,0.02,62.10253,12.34458,Tage Vowles,PlantHeight;;
1855,Vaccinium myrtillus,LOGH,0.03,62.10253,12.34458,Tage Vowles,PlantHeight;;
1856,Vaccinium myrtillus,The Global Leaf Traits,16.315789474,53.4,-1.5,Serge Sheremetev,SLA;;
1857,Vaccinium myrtillus,Kilpisjarvi, Finland,0.1,69.05680342,20.81049567,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1858,Vaccinium myrtillus,Kilpisjarvi, Finland,0.044,69.06418727,20.81475824,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1859,Vaccinium myrtillus,The Global Leaf Traits,17.1,40.05,-105.6,Serge Sheremetev,SLA;;
1860,Vaccinium myrtillus,Kilpisjarvi, Finland,0.097,69.06910039,20.82713877,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1861,Vaccinium myrtillus,Sheffield Database,6.21025641025641,53.4,-1.5,Johannes Cornelissen,SLA;;
1862,Vaccinium myrtillus,Sheffield Database,6.88387096774194,53.4,-1.5,Johannes Cornelissen,SLA;;
1863,Vaccinium myrtillus,LOGH,0.03,62.10253,12.34458,Tage Vowles,PlantHeight;;
1864,Vaccinium myrtillus,Kilpisjarvi, Finland,19.40700787,69.06977501,20.82052835,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,SLA
1865,Vaccinium myrtillus,FUMB,0.06,61.64506,12.59014,Tage Vowles,PlantHeight;;
1866,Vaccinium myrtillus,Kilpisjarvi, Finland,16.43845333,69.06837226,20.80586398,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,SLA
1867,Vaccinium myrtillus,The VISTA Plant Trait Database,0.24,62.7,11.08,Eric Garnier,SeedMass;;
1868,Vaccinium myrtillus,Escunhau,0.17,42.66969,0.8388,Alba Anadon-Rosell,PlantHeight;;
1869,Vaccinium myrtillus,Ecological Flora of the British Isles,0.26,NA,NA,Henry Ford,SeedMass;;
1870,Vaccinium myrtillus,Abisko,15.76777251,68.44055,18.2747,Mariska Te Beest,SLA;;
1871,Vaccinium myrtillus,Escunhau,0.19,42.66969,0.8388,Alba Anadon-Rosell,PlantHeight;;
1872,Vaccinium myrtillus,FUMB,0.07,61.64506,12.59014,Tage Vowles,PlantHeight;;
1873,Vaccinium myrtillus,The Functional Ecology of Trees (FET) Database  - Jena,24.8756218905473,58.08,27.54,Christian Wirth,SLA;;
1874,Vaccinium myrtillus,Sheffield Database,5.93521126760563,53.4,-1.5,Johannes Cornelissen,SLA;;
1875,Vaccinium myrtillus,FUMB,0.08,61.64506,12.59014,Tage Vowles,PlantHeight;;
1876,Vaccinium myrtillus,Kilpisjarvi, Finland,19.93680645,69.06953275,20.81304977,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,SLA
1877,Vaccinium myrtillus,The Netherlands Plant Traits Database,0.3,52.02,5.42,Jenny Ordonez,PlantHeight;;
1878,Vaccinium myrtillus,Kilpisjarvi, Finland,0.068,69.06470214,20.82949263,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1879,Vaccinium myrtillus,Kilpisjarvi, Finland,0.05,69.06470214,20.82949263,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1880,Vaccinium myrtillus,FURI,0.05,61.63542,12.6375,Tage Vowles,PlantHeight;;
1881,Vaccinium myrtillus,Altitudinal Vicariants Spain,23.2186046511628,43.27,-5.16,Ruben Milla,SLA;;
1882,Vaccinium myrtillus,LORI,0.13,62.11508,12.27236,Tage Vowles,PlantHeight;;
1883,Vaccinium myrtillus,Abisko,0.07,68.355968,18.722872,Martin Hallinger,PlantHeight;;
1884,Vaccinium myrtillus,Kilpisjarvi, Finland,0.043,69.045,20.831,Elina Kaarlejarvi; Anu Eskelinen; Johan Olofsson,PlantHeight
1885,Vaccinium myrtillus,FURI,0.06,61.63542,12.6375,Tage Vowles,PlantHeight;;
1886,Vaccinium myrtillus,Kilpisjarvi, Finland,15.82533505,69.057084,20.81791681,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,SLA
1887,Vaccinium myrtillus,LOGH,0.02,62.10253,12.34458,Tage Vowles,PlantHeight;;
1888,Vaccinium myrtillus,LOGH,0.02,62.10253,12.34458,Tage Vowles,PlantHeight;;
1889,Vaccinium myrtillus,LOGH,0.05,62.10253,12.34458,Tage Vowles,PlantHeight;;
1890,Vaccinium myrtillus,Escunhau,22.55,42.66969,0.8388,Alba Anadon-Rosell,SLA;;
1891,Vaccinium myrtillus,Escunhau,22.35,42.66969,0.8388,Alba Anadon-Rosell,SLA;;
1892,Vaccinium myrtillus,RIRI,0.04,67.77306,17.53611,Tage Vowles,PlantHeight;;
1893,Vaccinium myrtillus,Kilpisjarvi, Finland,18.14085603,69.07008685,20.82800218,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,SLA
1894,Vaccinium myrtillus,The VISTA Plant Trait Database,0.4,58.83,17.4,Eric Garnier,SeedMass;;
1895,Vaccinium myrtillus,Kilpisjarvi, Finland,0.053,69.06362953,20.82479542,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1896,Vaccinium myrtillus,TAMB,0.07,68.33694,21.32006,Tage Vowles,PlantHeight;;
1897,Vaccinium myrtillus,Filia,0.13,42.46391,0.96144,Alba Anadon-Rosell,PlantHeight;;
1898,Vaccinium myrtillus,Escunhau,24.04,42.66969,0.8388,Alba Anadon-Rosell,SLA;;
1899,Vaccinium myrtillus,LORI,0.05,62.11508,12.27236,Tage Vowles,PlantHeight;;
1900,Vaccinium myrtillus,Global Seed Mass, Plant Height Database,0.4,59.65,17.95,Angela Moles,SeedMass;;
1901,Vaccinium myrtillus,FUMB,0.11,61.64506,12.59014,Tage Vowles,PlantHeight;;
1902,Vaccinium myrtillus,RIRI,0.07,67.77306,17.53611,Tage Vowles,PlantHeight;;
1903,Vaccinium myrtillus,The VISTA Plant Trait Database,20.4,58.83,17.4,Eric Garnier,SLA;;
1904,Vaccinium myrtillus,FUMB,0.11,61.64506,12.59014,Tage Vowles,PlantHeight;;
1905,Vaccinium myrtillus,Abisko,15.58591837,68.355968,18.722872,Martin Hallinger,SLA;;
1906,Vaccinium myrtillus,Kilpisjarvi, Finland,0.061,69.07150714,20.81281427,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1907,Vaccinium myrtillus,FUMB,0.11,61.64506,12.59014,Tage Vowles,PlantHeight;;
1908,Vaccinium myrtillus,LORI,0.07,62.11508,12.27236,Tage Vowles,PlantHeight;;
1909,Vaccinium myrtillus,Kilpisjarvi, Finland,23.96236264,69.06136721,20.81166082,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,SLA
1910,Vaccinium myrtillus,Flora d’Italia Functional Traits Hoard (FIFTH),28.0839217105263,45.75,8.65,Bruno E. L. Cerabolini,SLA;;
1911,Vaccinium myrtillus,Filia,14.76,42.46391,0.96144,Alba Anadon-Rosell,SLA;;
1912,Vaccinium myrtillus,FUMB,0.14,61.64506,12.59014,Tage Vowles,PlantHeight;;
1913,Vaccinium myrtillus,TAMB,0.08,68.33694,21.32006,Tage Vowles,PlantHeight;;
1914,Vaccinium myrtillus,FURI,0.04,61.63542,12.6375,Tage Vowles,PlantHeight;;
1915,Vaccinium myrtillus,TAMB,0.09,68.33694,21.32006,Tage Vowles,PlantHeight;;
1916,Vaccinium myrtillus,Kilpisjarvi, Finland,0.072,69.06701298,20.8176447,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1917,Vaccinium myrtillus,FURI,0.04,61.63542,12.6375,Tage Vowles,PlantHeight;;
1918,Vaccinium myrtillus,FURI,0.05,61.63542,12.6375,Tage Vowles,PlantHeight;;
1919,Vaccinium myrtillus,FURI,0.05,61.63542,12.6375,Tage Vowles,PlantHeight;;
1920,Vaccinium myrtillus,Abisko_Nadia,20.14993551,68.3725,18.6475,Nadia Soudzilovskaia,SLA;;
1921,Vaccinium myrtillus,TAMB,0.09,68.33694,21.32006,Tage Vowles,PlantHeight;;
1922,Vaccinium myrtillus,Abisko,0.08,68.32842,18.83924167,Mariska Te Beest,PlantHeight;;
1923,Vaccinium myrtillus,Stillberg,20.41444444,46.77,9.87,Janet Prevey,SLA;;
1924,Vaccinium myrtillus,Abisko,0.075,68.44055,18.2747,Mariska Te Beest,PlantHeight;;
1925,Vaccinium myrtillus,LOGH,0.02,62.10253,12.34458,Tage Vowles,PlantHeight;;
1926,Vaccinium myrtillus,The VISTA Plant Trait Database,0.0871,62.7,11.08,Eric Garnier,PlantHeight;;
1927,Vaccinium myrtillus,Stillberg,0.14,46.77,9.87,Janet Prevey,PlantHeight;;
1928,Vaccinium myrtillus,The Global Leaf Traits,13.7,56.36,-4.6,Serge Sheremetev,SLA;;
1929,Vaccinium myrtillus,Kilpisjarvi, Finland,0.046,69.05785748,20.81509052,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1930,Vaccinium myrtillus,FURI,0.06,61.63542,12.6375,Tage Vowles,PlantHeight;;
1931,Vaccinium myrtillus,LORI,0.15,62.11508,12.27236,Tage Vowles,PlantHeight;;
1932,Vaccinium myrtillus,Leaf Biomechanics Database,18.2273365999759,53.38,1.46,Yusuke Onoda,SLA;;
1933,Vaccinium myrtillus,TAMB,0.1,68.33694,21.32006,Tage Vowles,PlantHeight;;
1934,Vaccinium myrtillus,TAMB,0.1,68.33694,21.32006,Tage Vowles,PlantHeight;;
1935,Vaccinium myrtillus,LOMB,0.15,62.06711,12.24481,Tage Vowles,PlantHeight;;
1936,Vaccinium myrtillus,Kilpisjarvi, Finland,0.036,69.06325239,20.81365563,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1937,Vaccinium myrtillus,Kilpisjarvi, Finland,27.306,69.045,20.831,Elina Kaarlejarvi; Anu Eskelinen; Johan Olofsson,SLA
1938,Vaccinium myrtillus,The Global Leaf Traits,18.572500229,68.34,18.84,Serge Sheremetev,SLA;;
1939,Vaccinium myrtillus,TAMB,0.11,68.33694,21.32006,Tage Vowles,PlantHeight;;
1940,Vaccinium myrtillus,TAMB,0.11,68.33694,21.32006,Tage Vowles,PlantHeight;;
1941,Vaccinium myrtillus,LOMB,0.1,62.06711,12.24481,Tage Vowles,PlantHeight;;
1942,Vaccinium myrtillus,TAMB,0.11,68.33694,21.32006,Tage Vowles,PlantHeight;;
1943,Vaccinium myrtillus,Global Leaf Robustness and Physiology Database,17.5,56.42,-6.02,Ülo Niinemets,SLA;;
1944,Vaccinium myrtillus,Global Leaf Robustness and Physiology Database,16,56.42,-6.02,Ülo Niinemets,SLA;;
1945,Vaccinium myrtillus,LOMB,0.1,62.06711,12.24481,Tage Vowles,PlantHeight;;
1946,Vaccinium myrtillus,Abisko,0.211,68.34831,18.82043,Anne Milbau,SeedMass;;
1947,Vaccinium myrtillus,Kilpisjarvi, Finland,22.209,69.045,20.831,Elina Kaarlejarvi; Anu Eskelinen; Johan Olofsson,SLA
1948,Vaccinium myrtillus,The Global Leaf Traits,17.5,46.02,11.02,Serge Sheremetev,SLA;;
1949,Vaccinium myrtillus,Sheffield Database,22.1182795698925,53.4,-1.5,Johannes Cornelissen,SLA;;
1950,Vaccinium myrtillus,LOMB,0.11,62.06711,12.24481,Tage Vowles,PlantHeight;;
1951,Vaccinium myrtillus,Kilpisjarvi, Finland,0.044,69.05856531,20.80871858,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1952,Vaccinium myrtillus,Altitudinal Vicariants Spain,24.2982456140351,43.27,-5.16,Ruben Milla,SLA;;
1953,Vaccinium myrtillus,LOMB,0.11,62.06711,12.24481,Tage Vowles,PlantHeight;;
1954,Vaccinium myrtillus,The Global Leaf Traits,13.698630137,68.34,18.84,Serge Sheremetev,SLA;;
1955,Vaccinium myrtillus,Kilpisjarvi, Finland,0.106,69.06856842,20.81208539,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1956,Vaccinium myrtillus,LOMB,0.11,62.06711,12.24481,Tage Vowles,PlantHeight;;
1957,Vaccinium myrtillus,Kilpisjarvi, Finland,19.00527221,69.05469161,20.81718961,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,SLA
1958,Vaccinium myrtillus,Altitudinal Vicariants Spain,0.2,43.27,-5.16,Ruben Milla,PlantHeight;;
1959,Vaccinium myrtillus,Kilpisjarvi, Finland,0.053,69.0682042,20.82614869,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1960,Vaccinium myrtillus,Kilpisjarvi, Finland,0.054,69.06202394,20.83032164,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1961,Vaccinium myrtillus,Global Respiration Database,17.1,40.05,-105.6,Peter Reich,SLA;;
1962,Vaccinium myrtillus,Kilpisjarvi, Finland,23.95852941,69.06586527,20.81295646,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,SLA
1963,Vaccinium myrtillus,Altitudinal Vicariants Spain,27.175,43.27,-5.16,Ruben Milla,SLA;;
1964,Vaccinium myrtillus,Kilpisjarvi, Finland,0.058,69.06966308,20.81683778,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1965,Vaccinium myrtillus,FURI,0.05,61.63542,12.6375,Tage Vowles,PlantHeight;;
1966,Vaccinium myrtillus,Sheffield Database,16.1407491486947,53.4,-1.5,Johannes Cornelissen,SLA;;
1967,Vaccinium myrtillus,Kilpisjarvi, Finland,0.055,69.06623645,20.82045962,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1968,Vaccinium myrtillus,The Global Leaf Traits,20.4,58.83,17.4,Serge Sheremetev,SLA;;
1969,Vaccinium myrtillus,Sheffield Database,16.7095588235294,53.4,-1.5,Johannes Cornelissen,SLA;;
1970,Vaccinium myrtillus,Abisko,0.08,68.32842,18.83924167,Mariska Te Beest,PlantHeight;;
1971,Vaccinium myrtillus,The Global Leaf Traits,16.393442623,68.35,18.82,Serge Sheremetev,SLA;;
1972,Vaccinium myrtillus,The Global Leaf Traits,24.875621891,58.25,26.67,Serge Sheremetev,SLA;;
1973,Vaccinium myrtillus,LOMB,0.14,62.06711,12.24481,Tage Vowles,PlantHeight;;
1974,Vaccinium myrtillus,LOMB,0.15,62.06711,12.24481,Tage Vowles,PlantHeight;;
1975,Vaccinium myrtillus,The Global Leaf Traits,26.335260116,43.27,-5.16,Serge Sheremetev,SLA;;
1976,Vaccinium myrtillus,FUMB,0.05,61.64506,12.59014,Tage Vowles,PlantHeight;;
1977,Vaccinium myrtillus,Abisko & Sheffield Database,0.25,68.33,18.85,Johannes Cornelissen,PlantHeight;;
1978,Vaccinium myrtillus,The Global Leaf Traits,19.302505967,53.4,-1.5,Serge Sheremetev,SLA;;
1979,Vaccinium myrtillus,Kilpisjarvi, Finland,0.09,69.05680342,20.81049567,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1980,Vaccinium myrtillus,European Mountain Meadows Plant Traits Database,21.7684378747018,46.84,11.29,Michael Bahn,SLA;;
1981,Vaccinium myrtillus,Caucasus_Nadia,28.04480459,43.44,41.69,Nadia Soudzilovskaia,SLA;;
1982,Vaccinium myrtillus,Kilpisjarvi, Finland,0.117,69.06953275,20.81304977,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1983,Vaccinium myrtillus,FUMB,0.05,61.64506,12.59014,Tage Vowles,PlantHeight;;
1984,Vaccinium myrtillus,Sheffield Database,19.070821529745,53.4,-1.5,Johannes Cornelissen,SLA;;
1985,Vaccinium myrtillus,FUMB,0.06,61.64506,12.59014,Tage Vowles,PlantHeight;;
1986,Vaccinium myrtillus,Kilpisjarvi, Finland,0.071,69.057084,20.81791681,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
1987,Vaccinium myrtillus,FUMB,0.06,61.64506,12.59014,Tage Vowles,PlantHeight;;
1988,Vaccinium myrtillus,LOGH,0.03,62.10253,12.34458,Tage Vowles,PlantHeight;;
1989,Vaccinium myrtillus,The VISTA Plant Trait Database,0.0871,62.7,11.08,Eric Garnier,PlantHeight;;
1990,Vaccinium myrtillus,European Mountain Meadows Plant Traits Database,0.0995,57.25,-3.5,Michael Bahn,PlantHeight;;
1991,Vaccinium myrtillus,European Mountain Meadows Plant Traits Database,0.0995,57.25,-3.5,Michael Bahn,PlantHeight;;
1992,Vaccinium myrtillus,Abisko,15.4189044,68.44055,18.2747,Mariska Te Beest,SLA;;
1993,Vaccinium myrtillus,Kilpisjarvi, Finland,21.68170213,69.05680342,20.81049567,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,SLA
1994,Vaccinium myrtillus,LOGH,0.03,62.10253,12.34458,Tage Vowles,PlantHeight;;
1995,Vaccinium myrtillus,LOGH,0.03,62.10253,12.34458,Tage Vowles,PlantHeight;;
1996,Vaccinium myrtillus,FUMB,0.07,61.64506,12.59014,Tage Vowles,PlantHeight;;
1997,Vaccinium myrtillus,FUMB,0.07,61.64506,12.59014,Tage Vowles,PlantHeight;;
1998,Vaccinium myrtillus,FUMB,0.07,61.64506,12.59014,Tage Vowles,PlantHeight;;
1999,Vaccinium myrtillus,The Netherlands Plant Traits Database,28.6004489337823,52.02,5.42,Jenny Ordonez,SLA;;
2000,Vaccinium myrtillus,Kilpisjarvi, Finland,0.047,69.06499738,20.8119392,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
2001,Vaccinium myrtillus,Kilpisjarvi, Finland,22.06570621,69.06418727,20.81475824,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,SLA
2002,Vaccinium myrtillus,LOMB,0.07,62.06711,12.24481,Tage Vowles,PlantHeight;;
2003,Vaccinium myrtillus,Stillberg,21.76969231,46.77,9.87,Janet Prevey,SLA;;
2004,Vaccinium myrtillus,Abisko,0.09,68.355968,18.722872,Martin Hallinger,PlantHeight;;
2005,Vaccinium myrtillus,LOMB,0.13,62.06711,12.24481,Tage Vowles,PlantHeight;;
2006,Vaccinium myrtillus,LOMB,0.08,62.06711,12.24481,Tage Vowles,PlantHeight;;
2007,Vaccinium myrtillus,Kilpisjarvi, Finland,0.039,69.07008685,20.82800218,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
2008,Vaccinium myrtillus,Kilpisjarvi, Finland,0.048,69.06313115,20.8352092,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
2009,Vaccinium myrtillus,Kilpisjarvi, Finland,0.09,69.06727337,20.79994421,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
2010,Vaccinium myrtillus,TAMB,0.05,68.33694,21.32006,Tage Vowles,PlantHeight;;
2011,Vaccinium myrtillus,Stillberg,0.126,46.77,9.87,Janet Prevey,PlantHeight;;
2012,Vaccinium myrtillus,The Netherlands Plant Traits Database,18.8109833971903,52.04,5.93,Jenny Ordonez,SLA;;
2013,Vaccinium myrtillus,Estais,0.273,42.55029,1.04184,Alba Anadon-Rosell,SeedMass;;
2014,Vaccinium myrtillus,LOGH,0.07,62.10253,12.34458,Tage Vowles,PlantHeight;;
2015,Vaccinium myrtillus,Kilpisjarvi, Finland,0.12,69.045,20.831,Elina Kaarlejarvi; Anu Eskelinen; Johan Olofsson,PlantHeight
2016,Vaccinium myrtillus,RIRI,0.06,67.77306,17.53611,Tage Vowles,PlantHeight;;
2017,Vaccinium myrtillus,The Global Leaf Traits,24.298245614,43.27,-5.16,Serge Sheremetev,SLA;;
2018,Vaccinium myrtillus,RIRI,0.06,67.77306,17.53611,Tage Vowles,PlantHeight;;
2019,Vaccinium myrtillus,TARI,0.06,68.33922,21.17958,Tage Vowles,PlantHeight;;
2020,Vaccinium myrtillus,TARI,0.1,68.33922,21.17958,Tage Vowles,PlantHeight;;
2021,Vaccinium myrtillus,Filia,0.16,42.46391,0.96144,Alba Anadon-Rosell,PlantHeight;;
2022,Vaccinium myrtillus,RIRI,0.06,67.77306,17.53611,Tage Vowles,PlantHeight;;
2023,Vaccinium myrtillus,The Global Leaf Traits,18.810983397,52.04,5.93,Serge Sheremetev,SLA;;
2024,Vaccinium myrtillus,Filia,0.16,42.46391,0.96144,Alba Anadon-Rosell,PlantHeight;;
2025,Vaccinium myrtillus,RIRI,0.07,67.77306,17.53611,Tage Vowles,PlantHeight;;
2026,Vaccinium myrtillus,Kilpisjarvi, Finland,0.1,69.06639132,20.80265843,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
2027,Vaccinium myrtillus,Kilpisjarvi, Finland,19.64037736,69.05871809,20.8123962,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,SLA
2028,Vaccinium myrtillus,Kilpisjarvi, Finland,0.095,69.06939894,20.80940115,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
2029,Vaccinium myrtillus,LORI,0.07,62.11508,12.27236,Tage Vowles,PlantHeight;;
2030,Vaccinium myrtillus,LORI,0.07,62.11508,12.27236,Tage Vowles,PlantHeight;;
2031,Vaccinium myrtillus,TAMB,0.08,68.33694,21.32006,Tage Vowles,PlantHeight;;
2032,Vaccinium myrtillus,LORI,0.07,62.11508,12.27236,Tage Vowles,PlantHeight;;
2033,Vaccinium myrtillus,Flora d’Italia Functional Traits Hoard (FIFTH),26.4880745945946,45.75,8.65,Bruno E. L. Cerabolini,SLA;;
2034,Vaccinium myrtillus,Flora d’Italia Functional Traits Hoard (FIFTH),29.7646206451613,45.75,8.65,Bruno E. L. Cerabolini,SLA;;
2035,Vaccinium myrtillus,TAMB,0.08,68.33694,21.32006,Tage Vowles,PlantHeight;;
2036,Vaccinium myrtillus,RIRI,0.08,67.77306,17.53611,Tage Vowles,PlantHeight;;
2037,Vaccinium myrtillus,Malga San Simone Trait Database (MSS),20.3636363636364,46.03,9.68,Bruno E. L. Cerabolini,SLA;;
2038,Vaccinium myrtillus,Malga San Simone Trait Database (MSS),26.7551020408163,46.03,9.68,Bruno E. L. Cerabolini,SLA;;
2039,Vaccinium myrtillus,Kilpisjarvi, Finland,14.10812808,69.06701298,20.8176447,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,SLA
2040,Vaccinium myrtillus,Abisko_Nadia,19.41529184,68.3725,18.6475,Nadia Soudzilovskaia,SLA;;
2041,Vaccinium myrtillus,Kilpisjarvi, Finland,0.066,69.06499738,20.8119392,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
2042,Vaccinium myrtillus,Malga San Simone Trait Database (MSS),21.1538461538462,46.03,9.68,Bruno E. L. Cerabolini,SLA;;
2043,Vaccinium myrtillus,Kilpisjarvi, Finland,22.62720588,69.06675762,20.81008595,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,SLA
2044,Vaccinium myrtillus,TAMB,0.09,68.33694,21.32006,Tage Vowles,PlantHeight;;
2045,Vaccinium myrtillus,Kilpisjarvi, Finland,0.091,69.045,20.831,Elina Kaarlejarvi; Anu Eskelinen; Johan Olofsson,PlantHeight
2046,Vaccinium myrtillus,Abisko,0.13,68.44055,18.2747,Mariska Te Beest,PlantHeight;;
2047,Vaccinium myrtillus,TAMB,0.09,68.33694,21.32006,Tage Vowles,PlantHeight;;
2048,Vaccinium myrtillus,LOGH,0.04,62.10253,12.34458,Tage Vowles,PlantHeight;;
2049,Vaccinium myrtillus,Kilpisjarvi, Finland,0.053,69.05785748,20.81509052,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
2050,Vaccinium myrtillus,Kilpisjarvi, Finland,18.8702071,69.06916155,20.80190587,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,SLA
2051,Vaccinium myrtillus,Kilpisjarvi, Finland,17.47740984,69.06186763,20.8265966,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,SLA
2052,Vaccinium myrtillus,Kilpisjarvi, Finland,0.084,69.06521865,20.81930648,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
2053,Vaccinium myrtillus,Sheffield Database,6.48807947019868,53.4,-1.5,Johannes Cornelissen,SLA;;
2054,Vaccinium myrtillus,Kilpisjarvi, Finland,0.112,69.045,20.831,Elina Kaarlejarvi; Anu Eskelinen; Johan Olofsson,PlantHeight
2055,Vaccinium myrtillus,LOMB,0.14,62.06711,12.24481,Tage Vowles,PlantHeight;;
2056,Vaccinium myrtillus,LOGH,0.02,62.10253,12.34458,Tage Vowles,PlantHeight;;
2057,Vaccinium myrtillus,TAMB,0.1,68.33694,21.32006,Tage Vowles,PlantHeight;;
2058,Vaccinium myrtillus,LOMB,0.09,62.06711,12.24481,Tage Vowles,PlantHeight;;
2059,Vaccinium myrtillus,Kilpisjarvi, Finland,0.097,69.045,20.831,Elina Kaarlejarvi; Anu Eskelinen; Johan Olofsson,PlantHeight
2060,Vaccinium myrtillus,TAMB,0.1,68.33694,21.32006,Tage Vowles,PlantHeight;;
2061,Vaccinium myrtillus,LOMB,0.09,62.06711,12.24481,Tage Vowles,PlantHeight;;
2062,Vaccinium myrtillus,Kilpisjarvi, Finland,0.11,69.045,20.831,Elina Kaarlejarvi; Anu Eskelinen; Johan Olofsson,PlantHeight
2063,Vaccinium myrtillus,TAMB,0.11,68.33694,21.32006,Tage Vowles,PlantHeight;;
2064,Vaccinium myrtillus,LOMB,0.1,62.06711,12.24481,Tage Vowles,PlantHeight;;
2065,Vaccinium myrtillus,FURI,0.16,61.63542,12.6375,Tage Vowles,PlantHeight;;
2066,Vaccinium myrtillus,Kilpisjarvi, Finland,0.092,69.06829482,20.80471774,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
2067,Vaccinium myrtillus,Kilpisjarvi, Finland,21.312,69.045,20.831,Elina Kaarlejarvi; Anu Eskelinen; Johan Olofsson,SLA
2068,Vaccinium myrtillus,LOMB,0.1,62.06711,12.24481,Tage Vowles,PlantHeight;;
2069,Vaccinium myrtillus,Abisko,0.210666667,68.34831,18.82043,Anne Milbau,SeedMass;;
2070,Vaccinium myrtillus,TAMB,0.15,68.33694,21.32006,Tage Vowles,PlantHeight;;
2071,Vaccinium myrtillus,Abisko,0.213333333,68.34831,18.82043,Anne Milbau,SeedMass;;
